longTermAdminSym,adminPttnCd,adminNm,hmPostNo,siDoCd,siGunGuCd,HDongCd,BDongCd,riCd,detailAddr,roadNmCd,gunmulMlno,gunmulSlno,fl,locTelNo_1,locTelNo_2,locTelNo_3,longTermPeribRgtDt,stpRptDt
11138000431,A04,사랑가득요양원2호,3502,11,380,650,101,0,,113804133121,5,3,6,2,303,1233,20220401,20220401
11141000021,A03,중앙소규모요양시설,3741,11,410,565,103,0,31번지 11호 ,114103005010,43,49,,2,362,9262,20080627,20080627
11141000023,A03,효림노인요양센터,3746,11,410,565,102,0,1번지 38호 ,114104136052,62,0,,2,313,5124,20080627,20080627
11141000073,A03,구립서대문노인전문요양센터,3608,11,410,660,118,0,4번지 ,114104136458,59,0,,2,392,3080,20090818,20090818
11141000097,A03,서대문노인복지관요양센터,3745,11,410,520,106,0,117번지 3호 ,114104136063,57,0,,2,363,9915,20100301,20100301
11141000098,A03,홍은노인요양시설,3602,11,410,660,118,0,,114104136435,43,0,"3,4",2,391,1355,20100301,20100301
11129000169,A03,청화요양원,2716,11,290,630,133,0,,112903107006,67,0,,2,942,2255,20140109,20140109
11129000170,A03,보문요양원,2850,11,290,600,121,0,,112904856727,32,0,,2,960,1123,20140127,20140127
11129000192,A04,유민복지센터,2745,11,290,760,138,0,,112904121565,20,0,,2,763,3962,20150101,20150101
11129000215,A03,종암요양원,2810,11,290,705,135,0,,112904121686,56,0,,2,921,1009,20160311,20160311
11129000216,A03,둥지요양원,2738,11,290,715,136,0,,112903005044,49,0,2,2,943,1235,20160428,20160428
11129000227,A03,한솔요양원,2751,11,290,725,136,0,,112904121433,30,0,4,2,911,7879,20160912,20160912
11129000231,A04,우리엄마요양원,2871,11,290,610,131,0,,112903005003,123,0,3,2,921,3002,20170116,20170116
11129000237,A03,다애요양원,2831,11,290,590,103,0,,112904121351,52,0,지하2,2,921,3131,20170317,20170317
11129000250,A03,정진요양원,2713,11,290,650,133,0,,112903107006,110,0,44232,2,943,4272,20180201,20180201
11129000273,A04,우리엄마요양원2호점,2871,11,290,610,131,0,,112903005003,123,0,"4층, 2층",2,921,3002,20190214,20190214
11129000318,A04,늘푸른요양원,2748,11,290,725,137,0,,112904121514,60,0,4,2,915,2556,20201008,20201008
11129000320,A03,성북힐요양원,2878,11,290,525,101,0,,112904121349,21,0,,2,3675,5878,20201029,20201029
11129000330,A03,더 프라임 요양원,2810,11,290,705,135,0,,112904121686,78,0,,2,928,2002,20211021,20211021
11129000345,A03,정릉노인요양원,2812,11,290,640,133,0,,112904121602,69,0,,2,6243,3000,20220801,20220801
