adminPttnCd,batRoom,funcTrnRoomreal,longTermAdminSym,medRoomreal,ofce,pgmRoomreal,prsnRoomreal1,prsnRoomreal2,prsnRoomreal3,prsnRoomreal4,spcAcupRoomreal,taxPageLong,taxRoom
A04,1,1,11135000160,0,1,1,0,1,0,1,0,0,0
A03,19,1,11135000175,1,1,1,0,2,0,2,0,1,1
A03,9,1,11135000188,1,1,1,0,2,0,2,1,1,1
A04,0,0,11135000216,0,0,0,0,0,0,0,0,0,0
A04,0,0,11135000217,0,0,0,0,0,0,0,0,0,0
A03,4,2,11135000223,2,1,2,0,2,0,2,0,4,1
A04,0,0,11135000225,0,0,0,0,0,0,0,0,0,0
A04,1,0,11135000227,0,1,1,0,3,0,3,0,0,1
A04,1,0,11135000260,0,1,1,1,4,1,4,0,1,0
A04,1,0,11135000261,0,0,1,1,4,1,4,0,1,1
A03,11,1,11135000268,1,1,1,0,3,0,3,1,12,1
A03,4,1,11135000273,1,2,2,0,1,0,1,1,2,1
A04,2,0,11135000292,0,1,1,0,1,0,1,0,1,0
A04,2,0,11135000333,1,1,1,0,1,0,1,0,1,0
A03,2,1,11135000355,1,1,1,2,5,2,5,1,1,1
A04,1,0,11135000372,1,1,1,1,4,1,4,0,1,0
A03,0,0,11135000400,0,0,0,1,1,1,1,0,0,0
A04,1,0,11135000407,0,1,1,0,3,0,3,0,0,0
A03,0,0,11135000425,0,0,0,1,1,1,1,0,0,0
A04,1,0,11135000441,0,1,1,0,1,0,1,0,0,0
A04,1,0,11135000442,0,1,1,0,1,0,1,0,0,0
A04,1,0,11135000460,0,1,1,0,1,0,1,1,0,0
A04,1,0,11135000465,0,1,1,1,1,1,1,0,1,1
A04,1,0,11135000487,1,1,1,2,0,2,0,0,1,1
A04,1,0,11135000558,0,1,1,1,2,1,2,0,1,0
A04,0,0,11135000573,0,0,0,0,0,0,0,0,0,0
A03,10,1,11138000004,1,1,1,0,0,0,0,1,1,0
A03,47,1,11138000006,2,1,1,0,0,0,0,0,6,3
A03,31,1,11138000008,3,1,1,0,0,0,0,0,2,3
A04,1,1,11138000031,0,1,0,0,1,0,1,0,1,1
A03,44,1,11138000065,6,1,3,0,0,0,0,1,39,2
G31,0,0,11138000065,0,0,0,0,0,0,0,0,0,0
G32,0,0,11138000065,0,0,0,0,0,0,0,0,0,0
G33,0,0,11138000065,0,0,0,0,0,0,0,0,0,0
A03,7,1,11138000090,2,1,1,0,4,0,4,1,2,1
A03,3,1,11138000093,1,1,1,1,5,1,5,0,1,1
A04,1,1,11138000121,0,1,0,1,2,1,2,0,1,0
A03,0,0,11138000128,0,0,0,1,4,1,4,0,0,0
A03,5,1,11138000195,1,1,1,0,3,0,3,0,2,1
A03,20,1,11138000216,1,2,2,5,6,5,6,1,8,1
A03,40,1,11138000217,6,1,3,0,3,0,3,1,7,2
M31,0,0,11138000217,0,0,0,0,0,0,0,0,0,0
A03,54,1,11138000224,3,1,1,1,37,1,37,0,48,1
A03,5,1,11138000243,1,3,1,10,4,10,4,1,4,4
A04,2,0,11138000257,0,1,1,0,1,0,1,0,2,0
A03,6,1,11138000258,1,1,1,0,2,0,2,1,4,1
A04,2,1,11138000271,0,1,1,0,1,0,1,0,2,1
A04,1,1,11138000280,1,1,1,1,4,1,4,0,1,1
A03,12,1,11138000355,1,2,4,4,9,4,9,1,5,5
A03,7,1,11138000379,1,1,1,0,4,0,4,1,4,1
A03,2,1,11138000397,1,1,2,0,2,0,2,1,2,2
A04,0,0,11138000402,0,0,0,0,0,0,0,0,0,0
A04,1,0,11138000430,1,1,1,1,0,1,0,0,1,0
A04,1,0,11138000431,1,1,2,1,4,1,4,0,1,0
A03,5,1,11141000021,2,2,1,2,3,2,3,1,4,1
A03,5,1,11141000023,1,1,2,0,0,0,0,0,2,2
A03,28,1,11141000073,1,1,1,0,0,0,0,1,1,2
A03,6,1,11141000097,2,1,1,0,0,0,0,1,9,2
A03,4,1,11141000098,1,1,1,0,0,0,0,0,1,1
A03,5,1,11129000169,1,1,1,0,4,0,4,1,3,1
A03,6,1,11129000170,3,1,1,0,1,0,1,0,1,1
A04,1,0,11129000192,0,1,1,1,1,1,1,1,0,0
A03,4,1,11129000215,1,1,3,0,3,0,3,0,4,1
A03,1,1,11129000216,1,1,1,0,1,0,1,1,1,0
A03,4,1,11129000227,1,1,1,0,4,0,4,1,1,1
A04,1,1,11129000231,0,1,0,1,0,1,0,0,1,0
A03,0,0,11129000237,0,0,0,0,3,0,3,0,0,0
A03,7,1,11129000250,1,1,1,2,3,2,3,1,4,1
A04,1,1,11129000273,1,0,1,2,0,2,0,0,1,0
